OBJECTID,NAME,PLZ,GPLZ,CANTON,CANTON_NR,BFSNR,CASES,SUBMISSIONS,FRACTION,POPULATION_AGGREGATED,SUBMISSIONS_PER_100K,CASES_PER_100K,Shape__Area,Shape__Length
218,Daillens,1306,1306,VD,22,5480,3,53,0.0566037735849057,1016,5216.53543,295.27559,11864246.0969238,19547.3694087957
219,Lussery-Villars,1307,1307,VD,22,5487,0,0,0,465,0,0,7763597.70629883,14202.1878021309
220,La Chaux (Cossonay),1308,1308,VD,22,5474,0,0,0,413,0,0,14097661.4262695,21292.0933847502
221,Eclépens,1312,1312,VD,22,5482,0,0,0,1224,0,0,12528311.697998,18432.408586387
222,Ferreyres,1313,1313,VD,22,5483,0,0,0,329,0,0,6600754.89990234,14445.0020150449
223,La Sarraz,1315,1315,VD,22,5498,0,89,0,2576,3454.96894,0,16424265.7248535,28773.9988180482
224,Chevilly,1316,1316,VD,22,5476,0,0,0,324,0,0,8507898.47900391,14320.7587589011
225,Orny,1317,1317,VD,22,5493,0,0,0,362,0,0,10974916.7751465,15960.7779080648
226,Pompaples,1318,1318,VD,22,5497,0,0,0,842,0,0,9327542.22827148,20645.5197438167
227,Arnex-sur-Orbe,1321,1321,VD,22,5743,0,0,0,641,0,0,16093126.2485352,23872.4301473696
228,Croy,1322,1322,VD,22,5752,0,0,0,442,0,0,8815719.35205078,13922.261273403
229,Romainmôtier,1323,1323,VD,22,5761,0,0,0,509,0,0,15236310.9321289,32443.4443796982
230,Premier,1324,1324,VD,22,5759,0,0,0,214,0,0,13065583.9245605,20923.657058814
231,Vaulion,1325,1325,VD,22,5765,0,0,0,491,0,0,29412918.6264648,31500.9951289829
232,Juriens,1326,1326,VD,22,5754,0,0,0,312,0,0,19999758.0263672,29795.0550765196
233,Bretonnières,1329,1329,VD,22,5748,0,0,0,268,0,0,11599202.1679688,18257.7064753769
234,Vallorbe,1337,1337,VD,22,5764,1,110,0.00909090909090909,3879,2835.78242,25.77984,49410312.4350586,38208.9869314554
235,Ballaigues,1338,1338,VD,22,5744,0,0,0,1072,0,0,19272299.0334473,18224.0375858927
236,L'Orient,1341,1341,VD,22,5872,0,60,0,746,8042.89544,0,29958208.0803223,26780.1777731136
237,Le Pont,1342,1342,VD,22,5871,0,0,0,486,0,0,13345398.9311523,17637.1516440408
238,Les Charbonnières,1343,1343,VD,22,5873,0,0,0,343,0,0,30413415.732666,23790.4507573818
239,L'Abbaye,1344,1344,VD,22,5871,0,0,0,379,0,0,21961311.5617676,21235.6076160194
240,Le Séchey,1345,1345,VD,22,5873,0,0,0,581,0,0,45664516.6508789,29130.2496290161
241,Les Bioux,1346,1346,VD,22,5871,0,0,0,640,0,0,41627531.6364746,28531.1600712618
242,Le Solliat,1347,1347,VD,22,5872,5,178,0.0280898876404494,2520,7063.49206,198.4127,40894722.8457031,30775.4367809651
243,Le Brassus,1348,1348,VD,22,5872,0,85,0,1391,6110.71172,0,141346447.483643,53967.5652599261
244,Orbe Distribution,1350,1350,VD,22,5757,1,253,0.00395256916996047,6904,3664.54229,14.48436,25547633.3276367,27887.5491680373
245,Agiez,1352,1352,VD,22,5742,0,0,0,353,0,0,11631424.0505371,17084.5615819042
246,Bofflens,1353,1353,VD,22,5747,0,0,0,199,0,0,9040214.65942383,17327.0120585596
247,Montcherand,1354,1354,VD,22,5756,0,0,0,497,0,0,6573165.02783203,11633.2155407615
248,Sergey,1355,1355,VD,22,5762,0,0,0,393,0,0,11198580.7424316,16200.7011715937
249,La Russille,1356,1356,VD,22,5750,0,0,0,190,0,0,14871185.7370605,23885.2919348015
250,Lignerolle,1357,1357,VD,22,5755,0,0,0,435,0,0,27165123.9157715,26305.1561240721
251,Valeyres-sous-Rances,1358,1358,VD,22,5763,0,0,0,624,0,0,13654329.7966309,26207.8142213157
252,Bavois,1372,1372,VD,22,5746,0,0,0,964,0,0,20581619.5700684,21379.6267479704
253,Chavornay,1373,1373,VD,22,5749,0,165,0,4445,3712.036,0,21677367.4912109,27273.318965477
254,Corcelles-sur-Chavornay,1374,1374,VD,22,5749,0,0,0,369,0,0,11742793.994873,22210.0513731645
255,Penthéréaz,1375,1375,VD,22,5531,0,0,0,422,0,0,12081279.4182129,16366.786003588
256,Goumoens-la-Ville,1376,1376,VD,22,5541,0,0,0,1128,0,0,22759758.4282227,26974.0687799436
257,Oulens-sous-Echallens,1377,1377,VD,22,5529,0,0,0,618,0,0,12379538.9597168,17572.1457881456
258,Yverdon-les-Bains,1400,1400,VD,22,5938,4,877,0.00456100342075257,30641,2862.17813,13.0544,57321504.9616699,40992.0096423876
259,Cuarny,1404,1404,VD,22,5911,0,0,0,354,0,0,11330818.4814453,18994.4717241888
260,Pomy,1405,1405,VD,22,5926,0,0,0,770,0,0,12035173.5668945,17769.9974930291
261,Cronay,1406,1406,VD,22,5910,0,0,0,396,0,0,13933155.9992676,19924.7927447458
262,Mézery-près-Donneloye,1407,1407,VD,22,5913,0,0,0,913,0,0,23041683.6867676,31070.5009076825
263,Prahins,1408,1408,VD,22,5913,0,0,0,130,0,0,5030492.70019531,11052.4603952341
264,Chanéaz,1409,1409,VD,22,5693,0,0,0,113,0,0,2969606.00488281,10700.32105586
265,Correvon,1410,1410,VD,22,5693,0,89,0,1779,5002.81057,0,48634752.715332,45926.4561620379
266,Valeyres-sous-Ursins,1412,1412,VD,22,5934,0,0,0,463,0,0,12879043.4433594,17018.8029133279
267,Orzens,1413,1413,VD,22,5925,0,0,0,211,0,0,8876114.8046875,14902.8410448921
268,Démoret,1415,1415,VD,22,5912,0,0,0,387,0,0,20920610.9829102,22680.8408379028
269,Pailly,1416,1416,VD,22,5530,0,0,0,569,0,0,12261113.5551758,13738.4103299951
270,Epautheyres,1417,1417,VD,22,5520,0,0,0,1029,0,0,20716661.7543945,24390.1323545374
271,Vuarrens,1418,1418,VD,22,5539,0,0,0,1011,0,0,18980883.885498,20766.2098931243
272,Fiez,1420,1420,VD,22,5556,0,0,0,443,0,0,5013520.07519531,9714.07436120429
273,Grandevent,1421,1421,VD,22,5560,0,0,0,464,0,0,10781141.810791,18346.8291568844
274,Grandson,1422,1422,VD,22,5561,1,142,0.00704225352112676,3327,4268.10941,30.05711,29526011.1826172,25038.4906428638
275,Fontanezier,1423,1423,VD,22,5571,0,0,0,925,0,0,21483789.6015625,31698.7523554315
276,Champagne,1424,1424,VD,22,5553,0,0,0,986,0,0,8344073.72705078,13428.3049752629
277,Onnens VD,1425,1425,VD,22,5565,0,0,0,503,0,0,15242868.6030273,22379.0320081548
278,Corcelles-près-Concise,1426,1426,VD,22,5555,0,77,0,1423,5411.1033,0,57180650.9331055,36864.0378447644
279,Bonvillars,1427,1427,VD,22,5551,0,0,0,479,0,0,11814580.6879883,19790.594091203
280,Mutrux,1428,1428,VD,22,5563,0,0,0,554,0,0,49394321.6977539,35222.7904841883
281,Giez,1429,1429,VD,22,5559,0,0,0,426,0,0,10154891.4589844,16786.084023467
282,Orges,1430,1430,VD,22,5924,0,0,0,341,0,0,8489166.31665039,14762.3714988157
283,Vugelles-La Mothe,1431,1431,VD,22,5937,0,0,0,231,0,0,10892282.8891602,16474.0988426741
284,Gressy,1432,1432,VD,22,5938,0,0,0,566,0,0,19023285.3806152,25919.5889705994
285,Suchy,1433,1433,VD,22,5929,0,0,0,599,0,0,14090588.3942871,17349.8012812054
286,Ependes VD,1434,1434,VD,22,5914,0,0,0,366,0,0,10210091.8476563,16755.0309248891
287,Essert-Pittet,1435,1435,VD,22,5749,0,0,0,186,0,0,7785426.90283203,12715.9575802021
288,Chamblon,1436,1436,VD,22,5904,0,0,0,1030,0,0,10454969.7766113,15326.0144614234
289,Suscévaz,1437,1437,VD,22,5930,0,0,0,215,0,0,8707240.25708008,14841.7046659549
290,Mathod,1438,1438,VD,22,5919,0,0,0,616,0,0,14119702.3781738,19154.2842235156
291,Rances,1439,1439,VD,22,5760,0,0,0,484,0,0,20882894.3439941,29898.3532581665
292,Valeyres-sous-Montagny,1441,1441,VD,22,5933,0,0,0,694,0,0,4902642.65063477,13236.0581107414
293,Montagny-près-Yverdon,1442,1442,VD,22,5922,0,0,0,877,0,0,7524136.1550293,15603.2067259505
294,Champvent,1443,1443,VD,22,5905,0,0,0,690,0,0,19390190.892334,26301.9752633663
295,Vuiteboeuf,1445,1445,VD,22,5766,0,0,0,603,0,0,11331152.5871582,16352.7053921065
296,Baulmes,1446,1446,VD,22,5745,0,0,0,1035,0,0,43308754.6298828,32263.0700985208
297,Ste-Croix,1450,1450,VD,22,5568,1,162,0.00617283950617284,4244,3817.15363,23.56268,42609564.5009766,39241.4845759168
298,Les Rasses,1452,1452,VD,22,5552,0,0,0,203,0,0,11197207.576416,16242.5066464633
299,Mauborget,1453,1453,VD,22,5562,0,0,0,649,0,0,76894274.4606934,47873.5480557937
300,L'Auberson,1454,1454,VD,22,5568,0,0,0,636,0,0,43780650.8703613,32461.1627607745
301,Yvonand,1462,1462,VD,22,5939,3,117,0.0256410256410256,3475,3366.90647,86.33094,44601657.9335938,32339.4036132636
302,Rovray,1463,1463,VD,22,5928,0,0,0,182,0,0,6742831.47070313,14557.7712003771
303,Chavannes-le-Chêne,1464,1464,VD,22,5907,0,0,0,459,0,0,12979148.6762695,17052.9839515534
304,Cheyres,1468,1468,FR,10,2055,0,60,0,1562,3841.22919,0,28131267.46875,26997.0044554073
305,Bollion,1470,1470,FR,10,2025,0,263,0,7209,3648.21751,0,51039760.8549805,44333.490643559
306,Font,1473,1473,FR,10,2054,0,0,0,907,0,0,19065528.9545898,22070.2208587907
307,Châbles FR,1474,1474,FR,10,2055,0,0,0,774,0,0,19948569.1933594,25132.7720804844
308,Montbrelloz,1475,1475,FR,10,2054,0,0,0,1126,0,0,40578000.2729492,34471.7988229245
309,Cugy FR,1482,1482,FR,10,2011,0,68,0,1385,4909.74729,0,13853133.3305664,20404.9254054852
310,Vesin,1483,1483,FR,10,2011,0,0,0,1052,0,0,15871626.4702148,23039.0176360411
311,Aumont,1484,1484,FR,10,2050,0,0,0,812,0,0,13073941.9936523,22845.7812353491
312,Nuvilly,1485,1485,FR,10,2035,0,0,0,441,0,0,9130464.33398438,15363.1146219111
313,Vuissens,1486,1486,FR,10,2054,0,0,0,272,0,0,11935093.5322266,15733.476082347
314,Murist,1489,1489,FR,10,2054,0,0,0,661,0,0,17439897.2890625,19867.6598551125
315,Vucherens,1509,1509,VD,22,5692,0,0,0,600,0,0,6935221.25292969,12209.4865197825
316,Moudon Caserne,1510,1510,VD,22,5678,1,136,0.00735294117647059,6320,2151.89873,15.82278,40019695.4682617,45403.606592549
317,Chavannes-sur-Moudon,1512,1512,VD,22,5665,0,0,0,221,0,0,9612036.51953125,16542.036159175
318,Hermenches,1513,1513,VD,22,5673,0,0,0,447,0,0,12425676.4946289,18965.6096517423
319,Bussy-sur-Moudon,1514,1514,VD,22,5663,0,0,0,218,0,0,6660670.046875,10702.896308207
320,Villars-le-Comte,1515,1515,VD,22,5690,0,0,0,300,0,0,16436307.1606445,22430.4687132464
321,Curtilles,1521,1521,VD,22,5669,0,0,0,331,0,0,10561866.128418,18900.4549992356
322,Oulens-sur-Lucens,1522,1522,VD,22,5675,0,95,0,3607,2633.76767,0,16823257.484375,24945.4992902667
323,Granges-près-Marnand,1523,1523,VD,22,5831,1,50,0.02,1448,3453.03867,69.06077,14959321.8974609,20397.8003657195
324,Marnand,1524,1524,VD,22,5831,0,0,0,239,0,0,4939542.54931641,13949.1865333784
325,Seigneux,1525,1525,VD,22,5831,0,0,0,676,0,0,14139423.2290039,19119.7699648034
326,Cremin,1526,1526,VD,22,5675,0,0,0,220,0,0,9382689.11230469,14967.9653128576
327,Villeneuve FR,1527,1527,FR,10,2044,0,0,0,373,0,0,6721000.65478516,14791.455208326
328,Praratoud,1528,1528,FR,10,2044,0,0,0,335,0,0,10404222.5595703,17698.1814232149
329,Cheiry,1529,1529,FR,10,2009,0,0,0,366,0,0,11002959.347168,20011.9264811178
330,Payerne Distribution,1530,1530,VD,22,5822,1,222,0.0045045045045045,9737,2279.96303,10.2701,37868293.0117188,40436.2201727983
331,Fétigny Dist Fil,1532,1532,FR,10,2016,0,0,0,1065,0,0,8848920.37011719,16009.155308307
332,Ménières,1533,1533,FR,10,2027,0,0,0,443,0,0,9399053.43994141,16248.6319747732
333,Sassel,1534,1534,VD,22,5831,0,0,0,245,0,0,10532316.3808594,17919.1445868692
334,Combremont-le-Grand,1535,1535,VD,22,5831,0,0,0,325,0,0,12998490.2641602,18365.6595601047
335,Combremont-le-Petit,1536,1536,VD,22,5831,0,0,0,419,0,0,12190304.71875,16691.6351332436
336,Champtauroz,1537,1537,VD,22,5812,0,0,0,124,0,0,6477813.41308594,11920.4044468885
337,Treytorrens (Payerne),1538,1538,VD,22,5828,0,0,0,125,0,0,6666799.30615234,12127.971102973
338,Bussy FR,1541,1541,FR,10,2054,0,0,0,957,0,0,18320445.2172852,20715.5926183027
339,Rueyres-les-Prés,1542,1542,FR,10,2054,0,0,0,532,0,0,6872246.53173828,14057.2367981608
340,Grandcour,1543,1543,VD,22,5817,0,0,0,982,0,0,21891542.375,27030.9406246004
341,Gletterens,1544,1544,FR,10,2022,0,0,0,1080,0,0,15077262.203125,21844.2226858861
342,Chevroux,1545,1545,VD,22,5813,0,0,0,493,0,0,28070581.2104492,22159.1712374013
343,Vers-chez-Perrin,1551,1551,VD,22,5822,0,0,0,297,0,0,12383591.1171875,19407.6842666148
344,Trey,1552,1552,VD,22,5827,0,0,0,274,0,0,8073978.14355469,15503.7714996321
345,Châtonnaye,1553,1553,FR,10,2068,0,0,0,831,0,0,13369328.5722656,21723.2457829975
346,Sédeilles,1554,1554,VD,22,5830,0,0,0,321,0,0,7807660.68505859,13441.2102923216
347,Villarzel,1555,1555,VD,22,5830,0,0,0,190,0,0,8572489.21337891,13907.2546074841
348,Corcelles-près-Payerne,1562,1562,VD,22,5816,0,78,0,2407,3240.5484,0,27451007.0717773,28595.2498632256
349,Dompierre FR,1563,1563,FR,10,2053,0,60,0,1123,5342.8317,0,10074318.8393555,14310.7463153365
350,Domdidier,1564,1564,FR,10,2053,3,98,0.0306122448979592,3279,2988.71607,91.49131,17258848.3574219,23156.2135081765
351,Missy,1565,1565,VD,22,5821,0,0,0,825,0,0,14085767.2915039,21143.9969725543
352,St-Aubin FR,1566,1566,FR,10,2041,1,61,0.0163934426229508,1848,3300.8658,54.11255,16922825.902832,19665.340890613
353,Delley,1567,1567,FR,10,2051,0,0,0,420,0,0,7300693.01855469,13138.5289243144
354,Portalban,1568,1568,FR,10,2051,0,0,0,747,0,0,28320105.1494141,26525.0333873437
355,Oleyres,1580,1580,VD,22,5451,0,133,0,4261,3121.33302,0,46792882.0917969,45237.7177575957
356,Villarepos,1583,1583,FR,10,2254,0,0,0,669,0,0,10273658.7592773,18252.2807580363
357,Villars-le-Grand,1584,1584,VD,22,5464,0,0,0,349,0,0,8965288.56689453,15334.6608910723
358,Bellerive VD,1585,1585,VD,22,5464,0,0,0,1191,0,0,12748289.7993164,22409.4476277913
359,Vallamand,1586,1586,VD,22,5464,0,0,0,556,0,0,9164346.22363281,16972.7552305066
360,Constantine,1587,1587,VD,22,5464,0,0,0,470,0,0,10048794.7329102,19794.9401210819
361,Cudrefin,1588,1588,VD,22,5456,0,140,0,1675,8358.20896,0,68202393.8842773,35678.6265269575
362,Chabrey,1589,1589,VD,22,5464,0,0,0,364,0,0,28350841.512207,24598.0558115402
363,Faoug,1595,1595,VD,22,5458,0,0,0,968,0,0,14495137.934082,18236.3956887799
364,Les Thioleyres,1607,1607,VD,22,5805,1,64,0.015625,1740,3678.16092,57.47126,21278581.2485352,27859.0287487088
365,Chapelle (Glâne),1608,1608,FR,10,2066,0,0,0,1038,0,0,13530658.4326172,21970.5994690646
366,Fiaugères,1609,1609,FR,10,2335,0,0,0,1005,0,0,20848943.1586914,22476.011877643
367,Châtillens,1610,1610,VD,22,5805,0,101,0,2665,3789.86867,0,13887469.9902344,20459.6134577072
368,Le Crêt-près-Semsales,1611,1611,FR,10,2338,0,0,0,502,0,0,15790017.7939453,19638.2128878515
369,Ecoteaux,1612,1612,VD,22,5805,0,0,0,469,0,0,7927266.6171875,17440.4909119344
370,Maracon,1613,1613,VD,22,5790,0,0,0,497,0,0,9185958.73828125,19577.3956757541
371,Granges (Veveyse),1614,1614,FR,10,2328,0,0,0,897,0,0,11124036.6201172,18596.2392662783
372,Bossonnens,1615,1615,FR,10,2323,0,0,0,1534,0,0,8723332.59033203,14114.2738027198
373,Attalens,1616,1616,FR,10,2321,1,121,0.00826446280991736,3054,3962.01703,32.74394,15627509.1557617,17553.155534925
374,Remaufens,1617,1617,FR,10,2333,0,75,0,1655,4531.72205,0,16522258.2353516,21083.1830490578
375,Châtel-St-Denis Dist,1618,1618,FR,10,2325,2,199,0.0100502512562814,6059,3284.37036,33.00875,67004878.0678711,51600.7355219576
