date,time,abbreviation_canton,tests_performed,total_positive_cases,total_hospitalized,intensive_care,ncumul_vent,ncumul_released,deaths,source,ncumul_ICF,ncumul_ICU_intub,pos_tests_1,recovered,lat,long,name_canton,number_canton
2020-02-25,00:00,GE,,,0.0,0.0,0.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,0.0,0.0,,,46.220528,6.132935,Genève,25
2020-02-25,00:00,TI,,1.0,,,,,,https://www.srf.ch/news/schweiz/tessiner-patient-erster-coronavirus-fall-in-der-schweiz,,,,,46.295617,8.808924,Ticino,21
2020-02-26,00:00,GE,,1.0,1.0,0.0,1.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,0.0,0.0,,,46.220528,6.132935,Genève,25
2020-02-26,00:00,TI,,1.0,,,,,,,,,,,46.295617,8.808924,Ticino,21
2020-02-27,19:17,BS,,0.0,,,,,,https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-positiver-fall-in-basel-stadt-zweiter-positiv-getesteter-ausserkantonaler-fall-gd.html,,,,,47.564869,7.615259,Basel-Stadt,12
2020-02-27,00:00,FL,3.0,,,,,,,https://www.regierung.li/media/attachments/83-verdachtsfaelle-negativ-getestet.pdf?t=637202562374055719,,,,,47.166667,9.509722,Fürstentum Lichtenstein,00
2020-02-27,00:00,GE,,1.0,1.0,0.0,1.0,,,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,0.0,0.0,,,46.220528,6.132935,Genève,25
2020-02-27,00:00,TI,,1.0,,,,,,,,,,,46.295617,8.808924,Ticino,21
2020-02-27,00:00,ZH,,1.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,2.0,,47.41275,8.65508,Zürich,01
2020-02-28,15:00,AG,,1.0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/20200228_KFS_20200106_Coronavirus_Lagebulletin_AG_Unterschrieben.pdf,,,,,47.40966,8.15688,Aargau,01
2020-02-28,00:00,BL,,1.0,,,,,,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/neuer-coronavirus-covid-19-erster-bestaetigter-fall-aus-dem-kanton-basel-landschaft,,,,,47.45176,7.702414,Basel-Landschaft,13
