last_update,timestamp,country,abbreviation_canton,name_canton,number_canton,lat,long,tests_performed,total_currently_positive_cases,total_positive_cases,new_hosp,total_hospitalized,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,intensive_care,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,ncumul_confirmed_non_resident,current_hosp_non_resident,current_hosp_resident,TotalPosTests1,ninst_ICU_intub,new_positive_cases,new_deaths,doubling_time_total_positive,doubling_time_fatalities,source
2020-09-15 17:05:54,2020-09-15 06:45:00,CH,SH,Schaffhausen,14,47.71357,8.59167,,177,177,0,0,217.44,9.828,,0,8,0,,9.0,23.0,46.0,,,,,,,,0,0,100.496381,,https://sh.ch/CMS/get/file/1ee8258d-79d2-4a86-a396-7d5abd59a5d5
2020-09-15 17:05:54,2020-09-14 23:00:00,CH,SO,Solothurn,11,47.304135,7.639388,,759,759,0,2,279.66,6.632,,0,18,,,,,,,,,,,,,4,0,107.86175,,https://corona.so.ch/index.php?id=27979
2020-09-15 17:05:54,2020-09-15 07:00:00,CH,SZ,Schwyz,05,47.061787,8.756585,10,536,536,0,1,340.75,15.893,484,0,25,,,,,,,,,,,,,1,0,101.45918,,https://www.sz.ch/public/upload/assets/48601/COVID-19_Fallzahlen_Kanton_Schwyz.xlsx
2020-09-15 17:05:54,2020-09-15 08:00:00,CH,TG,Thurgau,01,47.568715,9.091957,276,642,642,0,3,234.48,6.939,83,0,19,2,,55.0,,,,,,,,,,2,0,65.676209,,https://www.tg.ch/news/fachstab-gesundheit-coronavirus.html/10552
2020-09-15 17:05:54,2020-09-15 06:00:00,CH,TI,Ticino,21,46.295617,8.808924,,3590,3590,1,1,1014.98,98.954,929,0,350,0,0,,,,,,,,,,,0,0,495.944789,,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx
2020-09-15 17:05:54,2020-09-15 14:00:00,CH,UR,Uri,04,46.771849,8.628586,85,139,139,0,0,382.92,19.284,130,0,7,,,,22.0,,,,,,,,,0,0,480.002337,,https://www.ur.ch/themen/2962
2020-09-15 17:05:54,2020-09-14 01:00:00,CH,VD,Vaud,22,46.570091,6.557809000000001,,8824,8824,-4,30,1112.6,55.1,,0,437,4,,,,,,,,,,,,44,0,50.080458,755.529102,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/point-de-situation-statistique-dans-le-canton-de-vaud/
2020-09-15 17:05:54,2020-09-15 01:00:00,CH,VS,Valais/Wallis,23,46.209567,7.604659,,2517,2517,0,9,737.04,45.388,321,0,155,0,0,84.0,229.0,242.0,,,,,,,,0,0,221.935885,,https://www.vs.ch/de/web/coronavirus
2020-09-15 17:05:54,2020-09-15 06:00:00,CH,ZG,Zug,09,47.157296,8.537294,,408,408,0,1,325.36,7.177,359,0,9,0,,,,,,,,,,,,4,0,68.953629,,https://www.zg.ch/behoerden/gesundheitsdirektion/statistikfachstelle/themen/gesundheit/corona
2020-09-15 17:05:54,2020-09-15 12:30:00,CH,ZH,Zürich,01,47.41275,8.65508,,7080,7080,3,28,470.65,9.639,,0,145,9,9,548.0,1030.0,,,,,,,,,52,0,85.267486,249.528974,https://www.zh.ch/de/gesundheit/coronavirus.html
