date,country,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_confinment,total_currently_positive,new_positive,recovered,deaths,total_positive,tests_performed
2020-03-06,CH,0,0,0,0,207,207,0,0,0,0
2020-03-07,CH,0,0,0,0,262,55,0,0,0,0
2020-03-08,CH,0,0,0,0,331,69,0,0,0,0
2020-03-09,CH,0,0,0,0,372,41,0,0,0,0
2020-03-10,CH,0,0,0,0,490,118,0,0,0,0
2020-03-11,CH,0,0,0,0,638,148,0,0,0,0
2020-03-12,CH,0,0,0,0,851,213,0,0,0,0
2020-03-13,CH,0,0,0,0,1122,271,0,1,0,0
2020-03-14,CH,0,0,0,0,1357,235,0,1,0,0
2020-03-15,CH,0,0,0,0,713,-644,0,3,0,0
2020-03-16,CH,0,0,0,0,1953,1240,0,6,0,0
2020-03-17,CH,0,0,0,0,1883,-70,0,7,0,0
2020-03-18,CH,0,0,0,0,3513,1630,0,21,0,0
2020-03-19,CH,0,0,0,0,4804,1291,0,26,0,0
2020-03-20,CH,0,0,0,0,6128,1324,0,24,0,0
2020-03-21,CH,0,0,0,0,4868,-1260,0,73,0,0
