,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,ncumul_confirmed_non_resident,current_hosp_non_resident,current_quarantined_riskareatravel,current_quarantined_total,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
3149,2020-07-25 19:05:11,2020-07-10 06:15:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1004,1004,0,5,1,517.79,25.786,935,0,50,,18.0,,510.0,1.0,,57.0,,,,5,0,https://www.gesundheit.bs.ch,246.805851,
3171,2020-07-25 19:05:11,2020-07-11 07:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1006,1006,-1,4,1,518.82,25.786,937,0,50,,18.0,64.0,510.0,0.0,20.0,84.0,,,,2,0,https://www.gesundheit.bs.ch,216.170647,
3189,2020-07-25 19:05:11,2020-07-12 06:45:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1008,1008,-1,3,1,519.86,25.786,937,0,50,,21.0,90.0,510.0,0.0,18.0,108.0,,,,2,0,https://www.gesundheit.bs.ch,231.160255,
3210,2020-07-25 19:05:11,2020-07-13 08:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1009,1009,2,5,1,520.37,25.786,940,0,50,,19.0,,510.0,1.0,,138.0,,,,1,0,https://www.gesundheit.bs.ch,267.257812,
3237,2020-07-25 19:05:11,2020-07-14 06:35:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1014,1014,0,5,1,522.95,25.786,940,0,50,,24.0,39.0,510.0,1.0,130.0,169.0,,,,5,0,https://www.gesundheit.bs.ch,232.546575,
3262,2020-07-25 19:05:11,2020-07-15 06:45:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1016,1016,0,5,2,523.98,25.786,943,0,50,,23.0,39.0,510.0,1.0,161.0,200.0,,,,2,0,https://www.gesundheit.bs.ch,291.696007,
3288,2020-07-25 19:05:11,2020-07-16 06:25:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1018,1018,0,5,2,525.01,25.786,943,0,50,,25.0,42.0,510.0,1.0,168.0,210.0,,,,2,0,https://www.gesundheit.bs.ch,292.273636,
3314,2020-07-25 19:05:11,2020-07-17 06:15:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1022,1022,0,5,2,527.08,25.786,949,0,50,,23.0,48.0,510.0,1.0,188.0,236.0,,,,4,0,https://www.gesundheit.bs.ch,251.261869,
3336,2020-07-25 19:05:11,2020-07-18 08:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1024,1024,1,6,2,528.11,25.786,956,0,50,,18.0,44.0,510.0,1.0,206.0,250.0,,,,2,0,https://www.gesundheit.bs.ch,234.857108,
3354,2020-07-25 19:05:11,2020-07-19 12:44:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1025,1025,0,6,2,528.62,25.786,958,0,50,,17.0,32.0,510.0,1.0,247.0,279.0,,,,1,0,https://www.gesundheit.bs.ch,321.207589,
3374,2020-07-25 19:05:11,2020-07-20 06:45:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1026,1026,1,7,3,529.14,25.786,958,0,50,,18.0,32.0,510.0,1.0,246.0,278.0,,,,1,0,https://www.gesundheit.bs.ch,353.848807,
3400,2020-07-25 19:05:11,2020-07-21 06:45:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1032,1032,-1,6,3,532.23,25.786,963,0,50,,18.0,32.0,510.0,1.0,294.0,326.0,,,,6,0,https://www.gesundheit.bs.ch,253.737434,
3423,2020-07-25 19:05:11,2020-07-22 05:50:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1032,1032,-1,5,3,532.23,25.786,964,0,50,,19.0,39.0,511.0,2.0,309.0,348.0,,,,0,0,https://www.gesundheit.bs.ch,355.928265,
3447,2020-07-25 19:05:11,2020-07-23 07:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1033,1033,-1,4,2,532.75,26.302,964,0,51,,18.0,35.0,511.0,2.0,281.0,316.0,,,,1,1,https://www.gesundheit.bs.ch,396.05407,175.013944
3470,2020-07-25 19:05:11,2020-07-24 06:45:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1034,1034,0,4,2,533.26,26.302,968,0,51,,15.0,31.0,511.0,2.0,327.0,358.0,,,,1,0,https://www.gesundheit.bs.ch,396.439154,175.013944
3488,2020-07-25 19:05:11,2020-07-25 07:00:00,235,BS,Basel-Stadt,12,47.564869,7.615259,1035,1035,-1,3,2,533.78,26.302,969,0,51,,15.0,30.0,512.0,,386.0,416.0,,,,1,0,https://www.gesundheit.bs.ch,396.824238,175.013944
