,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,ncumul_confirmed_non_resident,current_hosp_non_resident,current_isolated,current_quarantined,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
12,2020-05-31 07:04:10,2020-02-28 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,1,1,0,,,0.35,,,0,,,,,,,,,,0,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,0.0,0.0
20,2020-05-31 07:04:10,2020-02-29 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,0,1,0,0.7,,,0,,,,,,,,,,1,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,0.0,0.0
30,2020-05-31 07:04:10,2020-03-01 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,0,1,0,0.7,,,0,,,,,,,,,,0,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,0.0,0.0
43,2020-05-31 07:04:10,2020-03-02 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,0,1,0,0.7,,,0,,,,,,,,,,0,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,0.0,0.0
56,2020-05-31 07:04:10,2020-03-03 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,0,1,0,0.7,,,0,,,,,,,,,,0,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,0.0,0.0
70,2020-05-31 07:04:10,2020-03-04 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,2,2,0,1,0,0.7,,,0,,,,,,,,,,0,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,5.0,0.0
87,2020-05-31 07:04:10,2020-03-05 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,6,6,0,1,0,2.09,,,0,,,,,,,,,,4,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,3.154649,0.0
102,2020-05-31 07:04:10,2020-03-06 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,6,6,3,4,2,2.09,,,0,,2,,,,,,,,0,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,3.154649,0.0
117,2020-05-31 07:04:10,2020-03-07 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,15,15,0,4,2,5.23,,,0,,2,,,,,,,,9,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,1.720051,0.0
128,2020-05-31 07:04:10,2020-03-08 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,19,19,0,4,2,6.62,0.348,,0,1,2,,,,,,,,4,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,1.539443,0.0
142,2020-05-31 07:04:10,2020-03-09 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,20,20,0,4,4,6.97,0.348,1,0,1,4,,,,,,,,1,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,1.50515,0.0
155,2020-05-31 07:04:10,2020-03-10 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,22,22,1,5,1,7.67,0.348,2,0,1,1,,,,,,,,2,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,2.667422,0.0
168,2020-05-31 07:04:10,2020-03-11 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,26,26,-2,3,1,9.06,0.697,2,0,2,1,,,,,,,,4,1,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,2.363533,0.0
185,2020-05-31 07:04:10,2020-03-12 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,26,26,6,9,3,9.06,0.697,2,0,2,3,,,,,,,,0,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,6.300807,0.0
203,2020-05-31 07:04:10,2020-03-13 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,42,42,3,12,3,14.63,0.697,2,0,2,3,,,,,,,,16,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,4.36914,5.0
220,2020-05-31 07:04:10,2020-03-14 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,47,47,-4,8,2,16.38,0.697,2,0,2,2,,,,,,,,5,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,4.056266,5.0
235,2020-05-31 07:04:10,2020-03-15 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,54,54,4,12,2,18.82,0.697,5,0,2,2,,,,,,,,7,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,3.859645,5.0
253,2020-05-31 07:04:10,2020-03-16 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,76,76,5,17,4,26.48,0.697,5,0,2,4,,,,,,,,22,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,3.231043,
270,2020-05-31 07:04:10,2020-03-17 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,89,89,9,26,5,31.01,0.697,13,0,2,5,,,,,,,,13,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,2.816435,
291,2020-05-31 07:04:10,2020-03-18 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,116,116,1,27,2,40.42,0.697,16,0,2,2,,,,,,,,27,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,3.411424,
314,2020-05-31 07:04:10,2020-03-19 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,134,134,-8,19,2,46.69,0.697,16,0,2,2,,,,,,,,18,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,3.307971,
334,2020-05-31 07:04:10,2020-03-20 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,184,184,8,27,2,64.11,1.045,18,0,3,2,,,,,,,,50,1,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,2.826976,8.547556
357,2020-05-31 07:04:10,2020-03-21 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,282,282,3,30,4,98.26,1.045,21,0,3,4,,,,,,,,98,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,2.643232,8.547556
377,2020-05-31 07:04:10,2020-03-22 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,289,289,10,40,7,100.7,1.045,21,0,3,7,,,,,,,,7,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,2.942575,8.547556
398,2020-05-31 07:04:10,2020-03-23 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,302,302,11,51,10,105.23,1.045,35,0,3,10,,,,,,,,13,0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,3.622076,8.547556
424,2020-05-31 07:04:10,2020-03-24 02:00:00,,BL,Basel-Landschaft,13,47.45176,7.702414,306,306,15,66,11,106.62,1.394,40,0,4,11,,,,,,,,4,1,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-gesundheit/medizinische-dienste/kantonsarztlicher-dienst/aktuelles/covid-19-faelle-kanton-basel-landschaft,4.1971,5.0
