,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
3397,2020-08-05 08:05:57,2020-07-21 11:50:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,107,107,2,2,0,193.84,5.435,,0,3,,5.0,59.0,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,369.098162,
3446,2020-08-05 08:05:57,2020-07-23 06:05:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,107,107,0,2,1,193.84,5.435,,0,3,,1.0,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,369.098162,
3472,2020-08-05 08:05:57,2020-07-24 08:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,108,108,-1,1,0,195.65,5.435,,0,3,,2.0,41.0,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,185.411472,
3531,2020-08-05 08:05:57,2020-07-27 11:15:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,108,108,0,1,0,195.65,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,372.563923,
3555,2020-08-05 08:05:57,2020-07-28 07:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,108,108,0,1,0,195.65,5.435,,0,3,,2.0,10.0,56.0,66.0,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,372.563923,
3582,2020-08-05 08:05:57,2020-07-29 11:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,108,108,-1,0,0,195.65,5.435,,0,3,,2.0,12.0,90.0,102.0,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,372.563923,
3609,2020-08-05 08:05:57,2020-07-30 11:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,108,108,1,1,0,195.65,5.435,,0,3,,2.0,12.0,117.0,129.0,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,372.563923,
3635,2020-08-05 08:05:57,2020-07-31 11:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,109,109,-1,0,0,197.46,5.435,,0,3,,3.0,11.0,130.0,141.0,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,376.029684,
3692,2020-08-05 08:05:57,2020-08-03 11:15:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,110,110,0,0,0,199.28,5.435,,0,3,,4.0,9.0,133.0,142.0,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,188.877307,
3715,2020-08-05 08:05:57,2020-08-04 11:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,110,110,0,0,0,199.28,5.435,,0,3,,4.0,9.0,142.0,151.0,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,188.877307,
