,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,ncumul_confirmed_non_resident,current_hosp_non_resident,current_hosp_resident,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
3426,2020-09-06 20:06:38,2020-07-22 06:00:00,,AG,Aargau,01,47.40966,8.15688,1495,1495,0,2,1,222.8,7.004,1170,0,47,1,89.0,202.0,,,,,,,,,9,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,77.96622,
3452,2020-09-06 20:06:38,2020-07-23 06:00:00,,AG,Aargau,01,47.40966,8.15688,1510,1510,0,2,1,225.04,7.154,1170,0,48,1,92.0,232.0,,,,,,,,,15,1,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,71.961127,164.616375
3478,2020-09-06 20:06:38,2020-07-24 06:00:00,,AG,Aargau,01,47.40966,8.15688,1525,1525,0,2,1,227.27,7.154,1170,0,48,1,97.0,269.0,,,,,,,,,15,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,71.659376,164.616375
3540,2020-09-06 20:06:38,2020-07-27 06:00:00,,AG,Aargau,01,47.40966,8.15688,1537,1537,0,2,1,229.06,7.154,1170,0,48,1,88.0,232.0,,,,,,,,,12,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,76.589888,164.616375
3566,2020-09-06 20:06:38,2020-07-28 06:00:00,,AG,Aargau,01,47.40966,8.15688,1553,1553,0,2,1,231.45,7.154,1170,0,48,1,81.0,289.0,,,,,,,,,16,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,78.58705,164.616375
3592,2020-09-06 20:06:38,2020-07-29 06:00:00,,AG,Aargau,01,47.40966,8.15688,1564,1564,0,2,1,233.08,7.303,1170,0,49,1,78.0,210.0,,,,,,,,,11,1,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,76.810782,83.165626
3619,2020-09-06 20:06:38,2020-07-30 06:00:00,,AG,Aargau,01,47.40966,8.15688,1587,1587,0,2,1,236.51,7.303,1170,0,49,1,96.0,299.0,,,,,,,,,23,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,69.682936,168.082236
3646,2020-09-06 20:06:38,2020-07-31 06:00:00,,AG,Aargau,01,47.40966,8.15688,1597,1597,0,2,1,238.0,7.303,1170,0,49,1,94.0,295.0,,,,,,,,,10,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,75.125757,168.082236
3673,2020-09-06 20:06:38,2020-08-01 01:00:00,,AG,Aargau,01,47.40966,8.15688,1613,1613,0,2,1,240.39,7.303,1170,0,49,1,,,,,,,,,,,16,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,71.808878,168.082236
3692,2020-09-06 20:06:38,2020-08-02 01:00:00,,AG,Aargau,01,47.40966,8.15688,1615,1615,0,2,1,240.69,7.303,1170,0,49,1,,,,,,,,,,,2,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,88.532657,168.082236
3710,2020-09-06 20:06:38,2020-08-03 06:00:00,,AG,Aargau,01,47.40966,8.15688,1620,1620,0,2,1,241.43,7.452,1170,0,50,1,73.0,192.0,,,,,,,,,5,1,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,98.515761,171.548092
3737,2020-09-06 20:06:38,2020-08-04 01:00:00,,AG,Aargau,01,47.40966,8.15688,1635,1635,0,2,1,243.67,7.452,1170,0,50,1,92.0,212.0,2045.0,,,,,,,,15,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,116.310156,171.548092
3763,2020-09-06 20:06:38,2020-08-05 01:00:00,,AG,Aargau,01,47.40966,8.15688,1651,1651,0,2,1,246.05,7.452,1170,0,50,1,92.0,204.0,1833.0,,,,,,,,16,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,104.219194,171.548092
3790,2020-09-06 20:06:38,2020-08-06 01:00:00,,AG,Aargau,01,47.40966,8.15688,1669,1669,0,2,1,248.73,7.452,1170,0,50,1,102.0,251.0,1740.0,,,,,,,,18,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,101.548583,171.548092
3816,2020-09-06 20:06:38,2020-08-07 01:00:00,,AG,Aargau,01,47.40966,8.15688,1679,1679,0,2,1,250.22,7.452,1170,0,50,1,68.0,140.0,1687.0,,,,,,,,10,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,89.177323,171.548092
3843,2020-09-06 20:06:38,2020-08-08 01:00:00,,AG,Aargau,01,47.40966,8.15688,1687,1687,0,2,1,251.42,7.452,1170,0,50,1,,,,,,,,,,,8,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,85.519554,
3862,2020-09-06 20:06:38,2020-08-09 01:00:00,,AG,Aargau,01,47.40966,8.15688,1690,1690,0,2,1,251.86,7.452,1170,0,50,1,68.0,140.0,,,,,,,,,3,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,104.750189,
3881,2020-09-06 20:06:38,2020-08-10 01:00:00,,AG,Aargau,01,47.40966,8.15688,1699,1699,0,2,1,253.2,7.452,1170,0,50,1,103.0,327.0,1517.0,,,,,,,,9,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,120.931466,
3908,2020-09-06 20:06:38,2020-08-11 01:00:00,,AG,Aargau,01,47.40966,8.15688,1728,1728,0,2,1,257.53,7.452,1170,0,50,1,116.0,443.0,1377.0,,,,,,,,29,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,99.762042,
3934,2020-09-06 20:06:38,2020-08-12 01:00:00,,AG,Aargau,01,47.40966,8.15688,1752,1752,0,2,1,261.1,7.452,1170,0,50,1,138.0,417.0,1219.0,,,,,,,,24,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,81.432502,
3960,2020-09-06 20:06:38,2020-08-13 01:00:00,,AG,Aargau,01,47.40966,8.15688,1772,1772,0,2,1,264.08,7.452,1170,0,50,1,145.0,436.0,1123.0,,,,,,,,20,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,70.503336,
3986,2020-09-06 20:06:38,2020-08-14 01:00:00,,AG,Aargau,01,47.40966,8.15688,1785,1785,0,2,1,266.02,7.452,1170,0,50,1,138.0,652.0,1112.0,,,,,,,,13,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,63.370691,
4013,2020-09-06 20:06:38,2020-08-15 01:00:00,,AG,Aargau,01,47.40966,8.15688,1804,1804,0,2,1,268.85,7.452,1170,0,50,1,,,,,,,,,,,19,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,57.794458,
4029,2020-09-06 20:06:38,2020-08-16 01:00:00,,AG,Aargau,01,47.40966,8.15688,1815,1815,0,2,1,270.49,7.452,1170,0,50,1,138.0,652.0,,,,,,,,,11,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,70.555367,
4047,2020-09-06 20:06:38,2020-08-17 01:00:00,,AG,Aargau,01,47.40966,8.15688,1824,1824,0,2,1,271.83,7.452,1170,0,50,1,124.0,473.0,1285.0,,,,,,,,9,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,86.054144,
4073,2020-09-06 20:06:38,2020-08-18 01:00:00,,AG,Aargau,01,47.40966,8.15688,1851,1851,0,2,1,275.86,7.601,1170,0,51,1,137.0,560.0,1305.0,,,,,,,,27,1,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,79.458044,175.013944
4100,2020-09-06 20:06:38,2020-08-19 01:00:00,,AG,Aargau,01,47.40966,8.15688,1881,1881,0,2,1,280.33,7.601,1170,0,51,1,148.0,609.0,1203.0,,,,,,,,30,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,66.158766,175.013944
4127,2020-09-06 20:06:38,2020-08-20 01:00:00,,AG,Aargau,01,47.40966,8.15688,1896,1896,0,2,1,282.56,7.601,1170,0,51,1,136.0,624.0,1041.0,,,,,,,,15,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,69.677064,175.013944
4152,2020-09-06 20:06:38,2020-08-21 01:00:00,,AG,Aargau,01,47.40966,8.15688,1913,1913,0,2,1,285.1,7.601,1170,0,51,1,142.0,548.0,1063.0,,,,,,,,17,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,65.904524,175.013944
4179,2020-09-06 20:06:38,2020-08-22 01:00:00,,AG,Aargau,01,47.40966,8.15688,1932,1932,0,2,1,287.93,7.601,1170,0,51,1,,,,,,,,,,,19,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,60.248684,175.013944
4196,2020-09-06 20:06:38,2020-08-23 01:00:00,,AG,Aargau,01,47.40966,8.15688,1947,1947,0,2,1,290.16,7.601,1170,0,51,1,142.0,548.0,,,,,,,,,15,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,68.541986,
4214,2020-09-06 20:06:38,2020-08-24 01:00:00,,AG,Aargau,01,47.40966,8.15688,1956,1956,0,2,1,291.51,7.75,1170,0,52,1,128.0,507.0,1152.0,,,,,,,,9,1,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,88.642233,178.479791
4241,2020-09-06 20:06:38,2020-08-25 01:00:00,,AG,Aargau,01,47.40966,8.15688,1985,1985,0,2,1,295.83,7.75,1170,0,52,1,143.0,466.0,1103.0,,,,,,,,29,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,75.551477,178.479791
4267,2020-09-06 20:06:38,2020-08-26 01:00:00,,AG,Aargau,01,47.40966,8.15688,2019,2019,0,2,1,300.89,7.75,1170,0,52,1,173.0,511.0,990.0,,,,,,,,34,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,64.264018,178.479791
4293,2020-09-06 20:06:38,2020-08-27 01:00:00,,AG,Aargau,01,47.40966,8.15688,2046,2046,0,2,1,304.92,7.75,1170,0,52,1,151.0,473.0,898.0,,,,,,,,27,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,60.451414,178.479791
4320,2020-09-06 20:06:38,2020-08-28 01:00:00,,AG,Aargau,01,47.40966,8.15688,2069,2069,0,2,1,308.35,7.75,1170,0,52,1,125.0,514.0,927.0,,,,,,,,23,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,57.025052,178.479791
4347,2020-09-06 20:06:38,2020-08-29 01:00:00,,AG,Aargau,01,47.40966,8.15688,2092,2092,0,2,1,311.77,7.75,1170,0,52,1,,,,,,,,,,,23,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,51.558893,
4364,2020-09-06 20:06:38,2020-08-30 01:00:00,,AG,Aargau,01,47.40966,8.15688,2101,2101,0,2,1,313.11,7.75,1170,0,52,1,125.0,514.0,,,,,,,,,9,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,61.022378,
4382,2020-09-06 20:06:38,2020-08-31 01:00:00,,AG,Aargau,01,47.40966,8.15688,2108,2108,0,2,1,314.16,7.75,1170,0,52,1,124.0,367.0,903.0,,,,,,,,7,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,80.341992,
4409,2020-09-06 20:06:38,2020-09-01 01:00:00,,AG,Aargau,01,47.40966,8.15688,2126,2126,0,2,1,316.84,7.75,1170,0,52,1,116.0,303.0,863.0,,,,,,,,18,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,90.357986,
4435,2020-09-06 20:06:38,2020-09-02 01:00:00,,AG,Aargau,01,47.40966,8.15688,2146,2146,0,2,1,319.82,7.75,1170,0,52,1,131.0,382.0,806.0,,,,,,,,20,0,https://www.ag.ch/de/themen_1/coronavirus_2/lagebulletins/lagebulletins_1.jsp,94.847089,
4460,2020-09-06 20:06:38,2020-09-03 01:00:00,,AG,Aargau,01,47.40966,8.15688,2173,2173,0,2,1,323.85,7.75,1170,0,52,1,116.0,409.0,700.0,,,,,,,,27,0,https://www.ag.ch/de/themen_1/coronavirus_2/coronavirus.jsp,91.232014,
